Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Nacionalidad;Total
Ambos sexos;Total Nacional;05 Canarias;;Total Extranjeros;287.458
Ambos sexos;Total Nacional;05 Canarias;;Alemania;25.286
Ambos sexos;Total Nacional;05 Canarias;;Austria;1.709
Ambos sexos;Total Nacional;05 Canarias;;Bélgica;4.360
Ambos sexos;Total Nacional;05 Canarias;;Bulgaria;2.643
Ambos sexos;Total Nacional;05 Canarias;;Chipre;21
Ambos sexos;Total Nacional;05 Canarias;;Croacia;377
Ambos sexos;Total Nacional;05 Canarias;;Dinamarca;692
Ambos sexos;Total Nacional;05 Canarias;;Eslovenia;507
Ambos sexos;Total Nacional;05 Canarias;;Estonia;622
Ambos sexos;Total Nacional;05 Canarias;;Finlandia;1.044
Ambos sexos;Total Nacional;05 Canarias;;Francia;6.597
Ambos sexos;Total Nacional;05 Canarias;;Grecia;304
Ambos sexos;Total Nacional;05 Canarias;;Hungría;2.355
Ambos sexos;Total Nacional;05 Canarias;;Irlanda;2.457
Ambos sexos;Total Nacional;05 Canarias;;Italia;49.879
Ambos sexos;Total Nacional;05 Canarias;;Letonia;1.085
Ambos sexos;Total Nacional;05 Canarias;;Lituania;1.501
Ambos sexos;Total Nacional;05 Canarias;;Luxemburgo;120
Ambos sexos;Total Nacional;05 Canarias;;Malta;26
Ambos sexos;Total Nacional;05 Canarias;;Países Bajos;3.306
Ambos sexos;Total Nacional;05 Canarias;;Polonia;5.016
Ambos sexos;Total Nacional;05 Canarias;;Portugal;4.762
Ambos sexos;Total Nacional;05 Canarias;;República Checa;1.472
Ambos sexos;Total Nacional;05 Canarias;;República Eslovaca;1.099
Ambos sexos;Total Nacional;05 Canarias;;Rumanía;7.979
Ambos sexos;Total Nacional;05 Canarias;;Suecia;1.947
Ambos sexos;Total Nacional;05 Canarias;;Albania;133
Ambos sexos;Total Nacional;05 Canarias;;Andorra;6
Ambos sexos;Total Nacional;05 Canarias;;Armenia;55
Ambos sexos;Total Nacional;05 Canarias;;Belarús;358
Ambos sexos;Total Nacional;05 Canarias;;Bosnia y Herzegovina;76
Ambos sexos;Total Nacional;05 Canarias;;Georgia;114
Ambos sexos;Total Nacional;05 Canarias;;Islandia;237
Ambos sexos;Total Nacional;05 Canarias;;Liechtenstein;8
Ambos sexos;Total Nacional;05 Canarias;;Macedonia;39
Ambos sexos;Total Nacional;05 Canarias;;Moldavia;286
Ambos sexos;Total Nacional;05 Canarias;;Noruega;1.551
Ambos sexos;Total Nacional;05 Canarias;;Reino Unido;29.582
Ambos sexos;Total Nacional;05 Canarias;;Rusia;4.306
Ambos sexos;Total Nacional;05 Canarias;;Serbia;290
Ambos sexos;Total Nacional;05 Canarias;;Suiza;1.793
Ambos sexos;Total Nacional;05 Canarias;;Turquía;94
Ambos sexos;Total Nacional;05 Canarias;;Ucrania;1.394
Ambos sexos;Total Nacional;05 Canarias;;Resto de Nacionalidades Europeas;37
Ambos sexos;Total Nacional;05 Canarias;;Angola;30
Ambos sexos;Total Nacional;05 Canarias;;Argelia;425
Ambos sexos;Total Nacional;05 Canarias;;Benin;9
Ambos sexos;Total Nacional;05 Canarias;;Burkina Faso;12
